year_film,year_ceremony,ceremony,category,name,film,winner
1936,1937,9,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,A Tale of Two Cities,False
1936,1937,9,OUTSTANDING PRODUCTION,Universal,Three Smart Girls,False
1937,1938,10,OUTSTANDING PRODUCTION,Columbia,The Awful Truth,False
1937,1938,10,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Captains Courageous,False
1937,1938,10,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Dead End,False
1937,1938,10,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Good Earth,False
1937,1938,10,OUTSTANDING PRODUCTION,20th Century-Fox,In Old Chicago,False
1937,1938,10,OUTSTANDING PRODUCTION,Warner Bros.,The Life of Emile Zola,True
1937,1938,10,OUTSTANDING PRODUCTION,Columbia,Lost Horizon,False
1937,1938,10,OUTSTANDING PRODUCTION,Universal,One Hundred Men and a Girl,False
1937,1938,10,OUTSTANDING PRODUCTION,RKO Radio,Stage Door,False
1937,1938,10,OUTSTANDING PRODUCTION,Selznick International Pictures,A Star Is Born,False
1938,1939,11,OUTSTANDING PRODUCTION,Warner Bros.-First National,The Adventures of Robin Hood,False
1938,1939,11,OUTSTANDING PRODUCTION,20th Century-Fox,Alexander's Ragtime Band,False
1938,1939,11,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Boys Town,False
1938,1939,11,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Citadel,False
1938,1939,11,OUTSTANDING PRODUCTION,Warner Bros.-First National,Four Daughters,False
1938,1939,11,OUTSTANDING PRODUCTION,Realization D'Art Cinematographique,Grand Illusion,False
1938,1939,11,OUTSTANDING PRODUCTION,Warner Bros.,Jezebel,False
1938,1939,11,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Pygmalion,False
1938,1939,11,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Test Pilot,False
1938,1939,11,OUTSTANDING PRODUCTION,Columbia,You Can't Take It with You,True
1939,1940,12,OUTSTANDING PRODUCTION,Warner Bros.-First National,Dark Victory,False
1939,1940,12,OUTSTANDING PRODUCTION,Selznick International Pictures,Gone with the Wind,True
1939,1940,12,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,"Goodbye, Mr. Chips",False
1939,1940,12,OUTSTANDING PRODUCTION,RKO Radio,Love Affair,False
1939,1940,12,OUTSTANDING PRODUCTION,Columbia,Mr. Smith Goes to Washington,False
1939,1940,12,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Ninotchka,False
1939,1940,12,OUTSTANDING PRODUCTION,Hal Roach (production company),Of Mice and Men,False
1939,1940,12,OUTSTANDING PRODUCTION,Walter Wanger (production company),Stagecoach,False
1939,1940,12,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Wizard of Oz,False
1939,1940,12,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Wuthering Heights,False
1940,1941,13,OUTSTANDING PRODUCTION,Warner Bros.,"All This, and Heaven Too",False
1940,1941,13,OUTSTANDING PRODUCTION,Walter Wanger (production company),Foreign Correspondent,False
1940,1941,13,OUTSTANDING PRODUCTION,20th Century-Fox,The Grapes of Wrath,False
1940,1941,13,OUTSTANDING PRODUCTION,Charles Chaplin Productions,The Great Dictator,False
1940,1941,13,OUTSTANDING PRODUCTION,RKO Radio,Kitty Foyle,False
1940,1941,13,OUTSTANDING PRODUCTION,Warner Bros.,The Letter,False
1940,1941,13,OUTSTANDING PRODUCTION,Argosy-Wanger,The Long Voyage Home,False
1940,1941,13,OUTSTANDING PRODUCTION,Sol Lesser (production company),Our Town,False
1940,1941,13,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Philadelphia Story,False
1940,1941,13,OUTSTANDING PRODUCTION,Selznick International Pictures,Rebecca,True
1941,1942,14,OUTSTANDING MOTION PICTURE,Metro-Goldwyn-Mayer,Blossoms in the Dust,False
1941,1942,14,OUTSTANDING MOTION PICTURE,Mercury,Citizen Kane,False
1941,1942,14,OUTSTANDING MOTION PICTURE,Columbia,Here Comes Mr. Jordan,False
1941,1942,14,OUTSTANDING MOTION PICTURE,Paramount,Hold Back the Dawn,False
1941,1942,14,OUTSTANDING MOTION PICTURE,20th Century-Fox,How Green Was My Valley,True
1941,1942,14,OUTSTANDING MOTION PICTURE,Samuel Goldwyn Productions,The Little Foxes,False
1941,1942,14,OUTSTANDING MOTION PICTURE,Warner Bros.,The Maltese Falcon,False
1941,1942,14,OUTSTANDING MOTION PICTURE,Warner Bros.,One Foot in Heaven,False
1941,1942,14,OUTSTANDING MOTION PICTURE,Warner Bros.,Sergeant York,False
1941,1942,14,OUTSTANDING MOTION PICTURE,RKO Radio,Suspicion,False
1942,1943,15,OUTSTANDING MOTION PICTURE,Ortus,The Invaders,False
1942,1943,15,OUTSTANDING MOTION PICTURE,Warner Bros.,Kings Row,False
1942,1943,15,OUTSTANDING MOTION PICTURE,Mercury,The Magnificent Ambersons,False
1942,1943,15,OUTSTANDING MOTION PICTURE,Metro-Goldwyn-Mayer,Mrs. Miniver,True
1942,1943,15,OUTSTANDING MOTION PICTURE,20th Century-Fox,The Pied Piper,False
1942,1943,15,OUTSTANDING MOTION PICTURE,Samuel Goldwyn Productions,The Pride of the Yankees,False
1942,1943,15,OUTSTANDING MOTION PICTURE,Metro-Goldwyn-Mayer,Random Harvest,False
1942,1943,15,OUTSTANDING MOTION PICTURE,Columbia,The Talk of the Town,False
1942,1943,15,OUTSTANDING MOTION PICTURE,Paramount,Wake Island,False
1942,1943,15,OUTSTANDING MOTION PICTURE,Warner Bros.,Yankee Doodle Dandy,False
1943,1944,16,OUTSTANDING MOTION PICTURE,Warner Bros.,Casablanca,True
1943,1944,16,OUTSTANDING MOTION PICTURE,Paramount,For Whom the Bell Tolls,False
1943,1944,16,OUTSTANDING MOTION PICTURE,20th Century-Fox,Heaven Can Wait,False
1943,1944,16,OUTSTANDING MOTION PICTURE,Metro-Goldwyn-Mayer,The Human Comedy,False
1943,1944,16,OUTSTANDING MOTION PICTURE,Two Cities,In Which We Serve,False
1943,1944,16,OUTSTANDING MOTION PICTURE,Metro-Goldwyn-Mayer,Madame Curie,False
1943,1944,16,OUTSTANDING MOTION PICTURE,Columbia,The More the Merrier,False
1943,1944,16,OUTSTANDING MOTION PICTURE,20th Century-Fox,The Ox-Bow Incident,False
1943,1944,16,OUTSTANDING MOTION PICTURE,20th Century-Fox,The Song of Bernadette,False
1943,1944,16,OUTSTANDING MOTION PICTURE,Warner Bros.,Watch on the Rhine,False
1944,1945,17,BEST MOTION PICTURE,Paramount,Double Indemnity,False
1944,1945,17,BEST MOTION PICTURE,Metro-Goldwyn-Mayer,Gaslight,False
1944,1945,17,BEST MOTION PICTURE,Paramount,Going My Way,True
1944,1945,17,BEST MOTION PICTURE,Selznick International Pictures,Since You Went Away,False
1944,1945,17,BEST MOTION PICTURE,20th Century-Fox,Wilson,False
1945,1946,18,BEST MOTION PICTURE,Metro-Goldwyn-Mayer,Anchors Aweigh,False
1945,1946,18,BEST MOTION PICTURE,Rainbow Productions,The Bells of St. Mary's,False
1945,1946,18,BEST MOTION PICTURE,Paramount,The Lost Weekend,True
1945,1946,18,BEST MOTION PICTURE,Warner Bros.,Mildred Pierce,False
1945,1946,18,BEST MOTION PICTURE,Selznick International Pictures,Spellbound,False
1946,1947,19,BEST MOTION PICTURE,Samuel Goldwyn Productions,The Best Years of Our Lives,True
1946,1947,19,BEST MOTION PICTURE,J. Arthur Rank-Two Cities Films,Henry V,False
1946,1947,19,BEST MOTION PICTURE,Liberty Films,It's a Wonderful Life,False
1946,1947,19,BEST MOTION PICTURE,20th Century-Fox,The Razor's Edge,False
1946,1947,19,BEST MOTION PICTURE,Metro-Goldwyn-Mayer,The Yearling,False
1947,1948,20,BEST MOTION PICTURE,Samuel Goldwyn Productions,The Bishop's Wife,False
1947,1948,20,BEST MOTION PICTURE,RKO Radio,Crossfire,False
1947,1948,20,BEST MOTION PICTURE,20th Century-Fox,Gentleman's Agreement,True
1947,1948,20,BEST MOTION PICTURE,J. Arthur Rank-Cineguild,Great Expectations,False
1947,1948,20,BEST MOTION PICTURE,20th Century-Fox,Miracle on 34th Street,False
1948,1949,21,BEST MOTION PICTURE,J. Arthur Rank-Two Cities Films,Hamlet,True
1948,1949,21,BEST MOTION PICTURE,Warner Bros.,Johnny Belinda,False
1948,1949,21,BEST MOTION PICTURE,J. Arthur Rank-Archers,The Red Shoes,False
1948,1949,21,BEST MOTION PICTURE,20th Century-Fox,The Snake Pit,False
1948,1949,21,BEST MOTION PICTURE,Warner Bros.,The Treasure of the Sierra Madre,False
1949,1950,22,BEST MOTION PICTURE,Robert Rossen Productions,All the King's Men,True
1949,1950,22,BEST MOTION PICTURE,Metro-Goldwyn-Mayer,Battleground,False
1949,1950,22,BEST MOTION PICTURE,Paramount,The Heiress,False
1949,1950,22,BEST MOTION PICTURE,20th Century-Fox,A Letter to Three Wives,False
1949,1950,22,BEST MOTION PICTURE,20th Century-Fox,Twelve O'Clock High,False
1950,1951,23,BEST MOTION PICTURE,20th Century-Fox,All about Eve,True
1950,1951,23,BEST MOTION PICTURE,Columbia,Born Yesterday,False
1950,1951,23,BEST MOTION PICTURE,Metro-Goldwyn-Mayer,Father of the Bride,False
1950,1951,23,BEST MOTION PICTURE,Metro-Goldwyn-Mayer,King Solomon's Mines,False
1950,1951,23,BEST MOTION PICTURE,Paramount,Sunset Blvd.,False
1951,1952,24,BEST MOTION PICTURE,"Arthur Freed, Producer",An American in Paris,True
1951,1952,24,BEST MOTION PICTURE,"Anatole Litvak and Frank McCarthy, Producers",Decision before Dawn,False
1951,1952,24,BEST MOTION PICTURE,"George Stevens, Producer",A Place in the Sun,False
1951,1952,24,BEST MOTION PICTURE,"Sam Zimbalist, Producer",Quo Vadis,False
1951,1952,24,BEST MOTION PICTURE,"Charles K. Feldman, Producer",A Streetcar Named Desire,False
1952,1953,25,BEST MOTION PICTURE,"Cecil B. DeMille, Producer",The Greatest Show on Earth,True
1952,1953,25,BEST MOTION PICTURE,"Stanley Kramer, Producer",High Noon,False
1952,1953,25,BEST MOTION PICTURE,"Pandro S. Berman, Producer",Ivanhoe,False
1952,1953,25,BEST MOTION PICTURE,Romulus Films,Moulin Rouge,False
1952,1953,25,BEST MOTION PICTURE,"John Ford and Merian C. Cooper, Producers",The Quiet Man,False
1953,1954,26,BEST MOTION PICTURE,"Buddy Adler, Producer",From Here to Eternity,True
1953,1954,26,BEST MOTION PICTURE,"John Houseman, Producer",Julius Caesar,False
1953,1954,26,BEST MOTION PICTURE,"Frank Ross, Producer",The Robe,False
1953,1954,26,BEST MOTION PICTURE,"William Wyler, Producer",Roman Holiday,False
1953,1954,26,BEST MOTION PICTURE,"George Stevens, Producer",Shane,False
1954,1955,27,BEST MOTION PICTURE,"Stanley Kramer, Producer",The Caine Mutiny,False
1954,1955,27,BEST MOTION PICTURE,"William Perlberg, Producer",The Country Girl,False
1954,1955,27,BEST MOTION PICTURE,"Sam Spiegel, Producer",On the Waterfront,True
1954,1955,27,BEST MOTION PICTURE,"Jack Cummings, Producer",Seven Brides for Seven Brothers,False
1954,1955,27,BEST MOTION PICTURE,"Sol C. Siegel, Producer",Three Coins in the Fountain,False
1955,1956,28,BEST MOTION PICTURE,"Buddy Adler, Producer",Love Is a Many-Splendored Thing,False
1955,1956,28,BEST MOTION PICTURE,"Harold Hecht, Producer",Marty,True
1955,1956,28,BEST MOTION PICTURE,"Leland Hayward, Producer",Mister Roberts,False
1955,1956,28,BEST MOTION PICTURE,"Fred Kohlmar, Producer",Picnic,False
1955,1956,28,BEST MOTION PICTURE,"Hal B. Wallis, Producer",The Rose Tattoo,False
1956,1957,29,BEST MOTION PICTURE,"Michael Todd, Producer",Around the World in 80 Days,True
1956,1957,29,BEST MOTION PICTURE,"William Wyler, Producer",Friendly Persuasion,False
1956,1957,29,BEST MOTION PICTURE,"George Stevens and Henry Ginsberg, Producers",Giant,False
1956,1957,29,BEST MOTION PICTURE,"Charles Brackett, Producer",The King and I,False
1956,1957,29,BEST MOTION PICTURE,"Cecil B. DeMille, Producer",The Ten Commandments,False
1957,1958,30,BEST MOTION PICTURE,"Sam Spiegel, Producer",The Bridge on the River Kwai,True
1957,1958,30,BEST MOTION PICTURE,"Jerry Wald, Producer",Peyton Place,False
1957,1958,30,BEST MOTION PICTURE,"William Goetz, Producer",Sayonara,False
1957,1958,30,BEST MOTION PICTURE,"Henry Fonda and Reginald Rose, Producers",12 Angry Men,False
1957,1958,30,BEST MOTION PICTURE,"Arthur Hornblow, Jr., Producer",Witness for the Prosecution,False
1958,1959,31,BEST MOTION PICTURE,Warner Bros.,Auntie Mame,False
1958,1959,31,BEST MOTION PICTURE,"Lawrence Weingarten, Producer",Cat on a Hot Tin Roof,False
1958,1959,31,BEST MOTION PICTURE,"Stanley Kramer, Producer",The Defiant Ones,False
1958,1959,31,BEST MOTION PICTURE,"Arthur Freed, Producer",Gigi,True
1958,1959,31,BEST MOTION PICTURE,"Harold Hecht, Producer",Separate Tables,False
1959,1960,32,BEST MOTION PICTURE,"Otto Preminger, Producer",Anatomy of a Murder,False
1959,1960,32,BEST MOTION PICTURE,"Sam Zimbalist, Producer",Ben-Hur,True
1959,1960,32,BEST MOTION PICTURE,"George Stevens, Producer",The Diary of Anne Frank,False
1959,1960,32,BEST MOTION PICTURE,"Henry Blanke, Producer",The Nun's Story,False
1959,1960,32,BEST MOTION PICTURE,"John Woolf and James Woolf, Producers",Room at the Top,False
1960,1961,33,BEST MOTION PICTURE,"John Wayne, Producer",The Alamo,False
1960,1961,33,BEST MOTION PICTURE,"Billy Wilder, Producer",The Apartment,True
1960,1961,33,BEST MOTION PICTURE,"Bernard Smith, Producer",Elmer Gantry,False
1960,1961,33,BEST MOTION PICTURE,"Jerry Wald, Producer",Sons and Lovers,False
1960,1961,33,BEST MOTION PICTURE,"Fred Zinnemann, Producer",The Sundowners,False
1961,1962,34,BEST MOTION PICTURE,"Joshua Logan, Producer",Fanny,False
1961,1962,34,BEST MOTION PICTURE,"Carl Foreman, Producer",The Guns of Navarone,False
1961,1962,34,BEST MOTION PICTURE,"Robert Rossen, Producer",The Hustler,False
1961,1962,34,BEST MOTION PICTURE,"Stanley Kramer, Producer",Judgment at Nuremberg,False
1961,1962,34,BEST MOTION PICTURE,"Robert Wise, Producer",West Side Story,True
1962,1963,35,BEST PICTURE,"Sam Spiegel, Producer",Lawrence of Arabia,True
1962,1963,35,BEST PICTURE,"Darryl F. Zanuck, Producer",The Longest Day,False
1962,1963,35,BEST PICTURE,"Morton Da Costa, Producer",Meredith Willson's The Music Man,False
1962,1963,35,BEST PICTURE,"Aaron Rosenberg, Producer",Mutiny on the Bounty,False
1962,1963,35,BEST PICTURE,"Alan J. Pakula, Producer",To Kill a Mockingbird,False
1963,1964,36,BEST PICTURE,"Elia Kazan, Producer",America America,False
1963,1964,36,BEST PICTURE,"Walter Wanger, Producer",Cleopatra,False
1963,1964,36,BEST PICTURE,"Bernard Smith, Producer",How the West Was Won,False
1963,1964,36,BEST PICTURE,"Ralph Nelson, Producer",Lilies of the Field,False
1963,1964,36,BEST PICTURE,"Tony Richardson, Producer",Tom Jones,True
1964,1965,37,BEST PICTURE,"Hal B. Wallis, Producer",Becket,False
1964,1965,37,BEST PICTURE,"Stanley Kubrick, Producer",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False
1964,1965,37,BEST PICTURE,"Walt Disney and Bill Walsh, Producers",Mary Poppins,False
1964,1965,37,BEST PICTURE,"Jack L. Warner, Producer",My Fair Lady,True
1964,1965,37,BEST PICTURE,"Michael Cacoyannis, Producer",Zorba the Greek,False
1965,1966,38,BEST PICTURE,"Joseph Janni, Producer",Darling,False
1965,1966,38,BEST PICTURE,"Carlo Ponti, Producer",Doctor Zhivago,False
1965,1966,38,BEST PICTURE,"Stanley Kramer, Producer",Ship of Fools,False
1965,1966,38,BEST PICTURE,"Robert Wise, Producer",The Sound of Music,True
1965,1966,38,BEST PICTURE,"Fred Coe, Producer",A Thousand Clowns,False
1966,1967,39,BEST PICTURE,"Lewis Gilbert, Producer",Alfie,False
1966,1967,39,BEST PICTURE,"Fred Zinnemann, Producer",A Man for All Seasons,True
1966,1967,39,BEST PICTURE,"Norman Jewison, Producer",The Russians Are Coming The Russians Are Coming,False
1966,1967,39,BEST PICTURE,"Robert Wise, Producer",The Sand Pebbles,False
1966,1967,39,BEST PICTURE,"Ernest Lehman, Producer",Who's Afraid of Virginia Woolf?,False
1967,1968,40,BEST PICTURE,"Warren Beatty, Producer",Bonnie and Clyde,False
1967,1968,40,BEST PICTURE,"Arthur P. Jacobs, Producer",Doctor Dolittle,False
1967,1968,40,BEST PICTURE,"Lawrence Turman, Producer",The Graduate,False
1967,1968,40,BEST PICTURE,"Stanley Kramer, Producer",Guess Who's Coming to Dinner,False
1967,1968,40,BEST PICTURE,"Walter Mirisch, Producer",In the Heat of the Night,True
1968,1969,41,BEST PICTURE,"Ray Stark, Producer",Funny Girl,False
1968,1969,41,BEST PICTURE,"Martin Poll, Producer",The Lion in Winter,False
1968,1969,41,BEST PICTURE,"John Woolf, Producer",Oliver!,True
1968,1969,41,BEST PICTURE,"Paul Newman, Producer","Rachel, Rachel",False
1968,1969,41,BEST PICTURE,"Anthony Havelock-Allan and John Brabourne, Producers",Romeo and Juliet,False
1969,1970,42,BEST PICTURE,"Hal B. Wallis, Producer",Anne of the Thousand Days,False
1969,1970,42,BEST PICTURE,"John Foreman, Producer",Butch Cassidy and the Sundance Kid,False
1969,1970,42,BEST PICTURE,"Ernest Lehman, Producer","Hello, Dolly!",False
1969,1970,42,BEST PICTURE,"Jerome Hellman, Producer",Midnight Cowboy,True
1969,1970,42,BEST PICTURE,"Jacques Perrin and Hamed Rachedi, Producers",Z,False
1970,1971,43,BEST PICTURE,"Ross Hunter, Producer",Airport,False
1970,1971,43,BEST PICTURE,"Bob Rafelson and Richard Wechsler, Producers",Five Easy Pieces,False
1970,1971,43,BEST PICTURE,"Howard G. Minsky, Producer",Love Story,False
1970,1971,43,BEST PICTURE,"Ingo Preminger, Producer",M*A*S*H,False
1970,1971,43,BEST PICTURE,"Frank McCarthy, Producer",Patton,True
1971,1972,44,BEST PICTURE,"Stanley Kubrick, Producer",A Clockwork Orange,False
1971,1972,44,BEST PICTURE,"Norman Jewison, Producer",Fiddler on the Roof,False
1971,1972,44,BEST PICTURE,"Philip D'Antoni, Producer",The French Connection,True
1971,1972,44,BEST PICTURE,"Stephen J. Friedman, Producer",The Last Picture Show,False
1971,1972,44,BEST PICTURE,"Sam Spiegel, Producer",Nicholas and Alexandra,False
1972,1973,45,BEST PICTURE,"Cy Feuer, Producer",Cabaret,False
1972,1973,45,BEST PICTURE,"John Boorman, Producer",Deliverance,False
1972,1973,45,BEST PICTURE,"Bengt Forslund, Producer",The Emigrants,False
1972,1973,45,BEST PICTURE,"Albert S. Ruddy, Producer",The Godfather,True
1972,1973,45,BEST PICTURE,"Robert B. Radnitz, Producer",Sounder,False
1973,1974,46,BEST PICTURE,"Francis Ford Coppola, Producer;  Gary Kurtz, Co-Producer",American Graffiti,False
1973,1974,46,BEST PICTURE,"Ingmar Bergman, Producer",Cries and Whispers,False
1973,1974,46,BEST PICTURE,"William Peter Blatty, Producer",The Exorcist,False
1973,1974,46,BEST PICTURE,"Tony Bill, Michael Phillips and Julia Phillips, Producers",The Sting,True
1973,1974,46,BEST PICTURE,"Melvin Frank, Producer",A Touch of Class,False
1974,1975,47,BEST PICTURE,"Robert Evans, Producer",Chinatown,False
1974,1975,47,BEST PICTURE,"Francis Ford Coppola, Producer;  Fred Roos, Co-Producer",The Conversation,False
1974,1975,47,BEST PICTURE,"Francis Ford Coppola, Producer;  Gray Frederickson and Fred Roos, Co-Producers",The Godfather Part II,True
1974,1975,47,BEST PICTURE,"Marvin Worth, Producer",Lenny,False
1974,1975,47,BEST PICTURE,"Irwin Allen, Producer",The Towering Inferno,False
1975,1976,48,BEST PICTURE,"Stanley Kubrick, Producer",Barry Lyndon,False
1975,1976,48,BEST PICTURE,"Martin Bregman and Martin Elfand, Producers",Dog Day Afternoon,False
1975,1976,48,BEST PICTURE,"Richard D. Zanuck and David Brown, Producers",Jaws,False
1975,1976,48,BEST PICTURE,"Robert Altman, Producer",Nashville,False
1975,1976,48,BEST PICTURE,"Saul Zaentz and Michael Douglas, Producers",One Flew over the Cuckoo's Nest,True
1976,1977,49,BEST PICTURE,"Walter Coblenz, Producer",All the President's Men,False
1976,1977,49,BEST PICTURE,"Robert F. Blumofe and Harold Leventhal, Producers",Bound for Glory,False
1976,1977,49,BEST PICTURE,"Howard Gottfried, Producer",Network,False
1976,1977,49,BEST PICTURE,"Irwin Winkler and Robert Chartoff, Producers",Rocky,True
1976,1977,49,BEST PICTURE,"Michael Phillips and Julia Phillips, Producers",Taxi Driver,False
1977,1978,50,BEST PICTURE,"Charles H. Joffe, Producer",Annie Hall,True
1977,1978,50,BEST PICTURE,"Ray Stark, Producer",The Goodbye Girl,False
1977,1978,50,BEST PICTURE,"Richard Roth, Producer",Julia,False
1977,1978,50,BEST PICTURE,"Gary Kurtz, Producer",Star Wars,False
1977,1978,50,BEST PICTURE,"Herbert Ross and Arthur Laurents, Producers",The Turning Point,False
1978,1979,51,BEST PICTURE,"Jerome Hellman, Producer",Coming Home,False
1978,1979,51,BEST PICTURE,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",The Deer Hunter,True
1978,1979,51,BEST PICTURE,"Warren Beatty, Producer",Heaven Can Wait,False
1978,1979,51,BEST PICTURE,"Alan Marshall and David Puttnam, Producers",Midnight Express,False
1978,1979,51,BEST PICTURE,"Paul Mazursky and Tony Ray, Producers",An Unmarried Woman,False
1979,1980,52,BEST PICTURE,"Robert Alan Aurthur, Producer",All That Jazz,False
1979,1980,52,BEST PICTURE,"Francis Coppola, Producer;  Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers",Apocalypse Now,False
1979,1980,52,BEST PICTURE,"Peter Yates, Producer",Breaking Away,False
1979,1980,52,BEST PICTURE,"Stanley R. Jaffe, Producer",Kramer vs. Kramer,True
1979,1980,52,BEST PICTURE,"Tamara Asseyev and Alex Rose, Producers",Norma Rae,False
1980,1981,53,BEST PICTURE,"Bernard Schwartz, Producer",Coal Miner's Daughter,False
1980,1981,53,BEST PICTURE,"Jonathan Sanger, Producer",The Elephant Man,False
